o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
1,37,O,131251.81,1996-01-02,5-LOW,Clerk#000000951,0,nstructions sleep furiously among 
2,79,O,40183.29,1996-12-01,1-URGENT,Clerk#000000880,0," foxes. pending accounts at the pending, silent asymptot"
3,124,F,160882.76,1993-10-14,5-LOW,Clerk#000000955,0,sly final accounts boost. carefully regular ideas cajole carefully. depos
4,137,O,31084.79,1995-10-11,5-LOW,Clerk#000000124,0,"sits. slyly regular warthogs cajole. regular, regular theodolites acro"
5,46,F,86615.25,1994-07-30,5-LOW,Clerk#000000925,0,quickly. bold deposits sleep slyly. packages use slyly
6,56,F,36468.55,1992-02-21,4-NOT SPECIFIED,Clerk#000000058,0,"ggle. special, final requests are against the furiously specia"
7,40,O,171488.73,1996-01-10,2-HIGH,Clerk#000000470,0,ly special requests 
32,131,O,116923.0,1995-07-16,2-HIGH,Clerk#000000616,0,"ise blithely bold, regular requests. quickly unusual dep"
33,67,F,99798.76,1993-10-27,3-MEDIUM,Clerk#000000409,0,uriously. furiously final request
34,62,O,41670.02,1998-07-21,3-MEDIUM,Clerk#000000223,0,ly final packages. fluffily final deposits wake blithely ideas. spe
35,128,O,148789.52,1995-10-23,4-NOT SPECIFIED,Clerk#000000259,0,zzle. carefully enticing deposits nag furio
36,116,O,38988.98,1995-11-03,1-URGENT,Clerk#000000358,0, quick packages are blithely. slyly silent accounts wake qu
37,88,F,113701.89,1992-06-03,3-MEDIUM,Clerk#000000456,0,kly regular pinto beans. carefully unusual waters cajole never
38,125,O,46366.56,1996-08-21,4-NOT SPECIFIED,Clerk#000000604,0,haggle blithely. furiously express ideas haggle blithely furiously regular re
39,82,O,219707.84,1996-09-20,3-MEDIUM,Clerk#000000659,0,"ole express, ironic requests: ir"
64,34,F,20065.73,1994-07-16,3-MEDIUM,Clerk#000000661,0,wake fluffily. sometimes ironic pinto beans about the dolphin
65,17,P,65883.92,1995-03-18,1-URGENT,Clerk#000000632,0,ular requests are blithely pending orbits-- even requests against the deposit
66,130,F,79258.24,1994-01-20,5-LOW,Clerk#000000743,0,y pending requests integrate
67,58,O,116227.05,1996-12-19,4-NOT SPECIFIED,Clerk#000000547,0,symptotes haggle slyly around the furiously iron
68,29,O,215135.72,1998-04-18,3-MEDIUM,Clerk#000000440,0, pinto beans sleep carefully. blithely ironic deposits haggle furiously acro
69,85,F,162176.23,1994-06-04,4-NOT SPECIFIED,Clerk#000000330,0, depths atop the slyly thin deposits detect among the furiously silent accou
70,65,F,84651.8,1993-12-18,5-LOW,Clerk#000000322,0, carefully ironic request
71,4,O,178821.73,1998-01-24,4-NOT SPECIFIED,Clerk#000000271,0, express deposits along the blithely regul
96,109,F,55090.67,1994-04-17,2-HIGH,Clerk#000000395,0,oost furiously. pinto
97,22,F,68908.31,1993-01-29,3-MEDIUM,Clerk#000000547,0,hang blithely along the regular accounts. furiously even ideas after the
98,106,F,51004.44,1994-09-25,1-URGENT,Clerk#000000448,0,c asymptotes. quickly regular packages should have to nag re
99,89,F,92326.79,1994-03-13,4-NOT SPECIFIED,Clerk#000000973,0,e carefully ironic packages. pending
100,148,O,141311.01,1998-02-28,4-NOT SPECIFIED,Clerk#000000577,0,heodolites detect slyly alongside of the ent
101,28,O,95591.4,1996-03-17,3-MEDIUM,Clerk#000000419,0,ding accounts above the slyly final asymptote
102,1,O,113954.89,1997-05-09,2-HIGH,Clerk#000000596,0, slyly according to the asymptotes. carefully final packages integrate furious
103,31,O,95563.95,1996-06-20,4-NOT SPECIFIED,Clerk#000000090,0,ges. carefully unusual instructions haggle quickly regular f
128,74,F,36333.34,1992-06-15,1-URGENT,Clerk#000000385,0,ns integrate fluffily. ironic asymptotes after the regular excuses nag around 
129,73,F,188124.55,1992-11-19,5-LOW,Clerk#000000859,0,ing tithes. carefully pending deposits boost about the silently express 
130,37,F,115717.37,1992-05-08,2-HIGH,Clerk#000000036,0,"le slyly unusual, regular packages? express deposits det"
131,94,F,96596.81,1994-06-08,3-MEDIUM,Clerk#000000625,0,after the fluffily special foxes integrate s
132,28,F,118802.62,1993-06-11,3-MEDIUM,Clerk#000000488,0,sits are daringly accounts. carefully regular foxes sleep slyly about the
133,44,O,80437.72,1997-11-29,1-URGENT,Clerk#000000738,0,usly final asymptotes 
134,7,F,154260.84,1992-05-01,4-NOT SPECIFIED,Clerk#000000711,0,lar theodolites boos
135,61,O,174569.88,1995-10-21,4-NOT SPECIFIED,Clerk#000000804,0,l platelets use according t
160,83,O,86076.86,1996-12-19,4-NOT SPECIFIED,Clerk#000000342,0,thely special sauternes wake slyly of t
161,17,F,19056.99,1994-08-31,2-HIGH,Clerk#000000322,0,carefully! special instructions sin
162,16,O,2158.13,1995-05-08,3-MEDIUM,Clerk#000000378,0,"nts hinder fluffily ironic instructions. express, express excuses "
163,88,O,125170.86,1997-09-05,3-MEDIUM,Clerk#000000379,0,y final packages. final foxes since the quickly even
164,1,F,202660.52,1992-10-21,5-LOW,Clerk#000000209,0,cajole ironic courts. slyly final ideas are slyly. blithely final Tiresias sub
165,28,F,141824.23,1993-01-30,4-NOT SPECIFIED,Clerk#000000292,0,across the blithely regular accounts. bold
166,109,O,93335.6,1995-09-12,2-HIGH,Clerk#000000440,0,"lets. ironic, bold asymptotes kindle"
167,121,F,52982.23,1993-01-04,4-NOT SPECIFIED,Clerk#000000731,0,s nag furiously bold excuses. fluffily iron
192,83,O,133002.55,1997-11-25,5-LOW,Clerk#000000483,0,y unusual platelets among the final instructions integrate rut
193,80,F,48053.18,1993-08-08,1-URGENT,Clerk#000000025,0,the furiously final pin
194,62,F,114097.63,1992-04-05,3-MEDIUM,Clerk#000000352,0,"egular requests haggle slyly regular, regular pinto beans. asymptote"
195,136,F,120053.52,1993-12-28,3-MEDIUM,Clerk#000000216,0,old forges are furiously sheaves. slyly fi
196,65,F,33248.04,1993-03-17,2-HIGH,Clerk#000000988,0,beans boost at the foxes. silent foxes
197,34,P,100290.07,1995-04-07,2-HIGH,Clerk#000000969,0,solve quickly about the even braids. carefully express deposits affix care
198,112,O,125792.83,1998-01-02,4-NOT SPECIFIED,Clerk#000000331,0,its. carefully ironic requests sleep. furiously express fox
199,53,O,80592.44,1996-03-07,2-HIGH,Clerk#000000489,0,g theodolites. special packag
224,4,F,155680.6,1994-06-18,4-NOT SPECIFIED,Clerk#000000642,0,r the quickly thin courts. carefully
225,34,P,165890.47,1995-05-25,1-URGENT,Clerk#000000177,0,s. blithely ironic accounts wake quickly fluffily special acc
226,128,F,180119.22,1993-03-10,2-HIGH,Clerk#000000756,0,s are carefully at the blithely ironic acc
